url,Type,label
http://sbi-kyc-pending.gq/m/login/m/index.php?session=6898692,phishing,1
http://sbi-account-block.gq/auth/m/login?ts=9572148,phishing,1
http://sbi-login-update.top/verify/cust/auth?uid=7816361,phishing,1
http://sbi-login-update.click/verify/session/portal?sid=7531205&token=5508350,phishing,1
http://sbi-login-update.gq/m/login/id/index.php?token=9770262,phishing,1
http://hdfc-kyc-update.xyz/m/m/verify/cust/auth?uid=4349951&uid=7848986,phishing,1
http://hdfc-kyc-verify.gq/id/login/?session=536459,phishing,1
http://hdfc-account-block.xyz/id/id/account/secure?sid=6501040,phishing,1
http://hdfc-secure-login.xyz/m/signin?sid=5032788,phishing,1
http://icici-kyc-update.xyz/auth/home?token=3953406,phishing,1
http://icici-kyc-update.click/login/m/auth/home,phishing,1
http://icici-kyc-verify.click/auth/verify/id/auth?ref=6385097&uid=2373838,phishing,1
http://axis-kyc-verify.click/auth/m/u/redirect,phishing,1
http://axis-account-suspended.click/verify/login/verify/secure,phishing,1
http://kotak-kyc-update.top/u/id/u/auth,phishing,1
http://canara-kyc-pending.xyz/secure/secure/cust/auth,phishing,1
http://canara-kyc-pending.click/secure/m/m/login?session=9882083,phishing,1
http://canara-account-suspended.xyz/verify/redirect?token=3166091,phishing,1
http://canara-account-suspended.top/id/login?sid=4735262&token=8021862,phishing,1
http://canara-verify-now.xyz/m/session/verify/,phishing,1
http://canara-login-update.xyz/u/cust/auth?ref=7176701,phishing,1
http://canara-login-update.top/auth/m/wap/login.html,phishing,1
http://pnb-kyc-update.xyz/session/login?sid=6354695&token=6120950,phishing,1
http://pnb-kyc-update.top/u/verify/wap/login.html?session=8739982&ts=8290290,phishing,1
http://pnb-kyc-update.gq/session/login/wap/login.html,phishing,1
http://pnb-account-block.xyz/session/auth/m/login,phishing,1
http://pnb-account-block.click/session/login/signin?uid=4463070&token=3930283,phishing,1
http://pnb-secure-login.click/m/wap/login.html?ts=7078929,phishing,1
http://pnb-login-update.xyz/u/id/redirect?sid=4927803&sid=6410343,phishing,1
http://unionbank-kyc-update.xyz/u/id/verify/auth,phishing,1
http://unionbank-kyc-update.click/auth/secure,phishing,1
http://unionbank-kyc-verify.xyz/u/m/login?sid=7728088&session=2189689,phishing,1
http://unionbank-account-block.xyz/session/verify,phishing,1
http://unionbank-account-block.top/verify/id/m/login?token=5631825&ts=6708271,phishing,1
http://unionbank-verify-now.top/id/login/portal?ts=4851667,phishing,1
http://unionbank-secure-login.top/id/index.php?token=848919&ts=7998455,phishing,1
http://unionbank-login-update.xyz/login/login,phishing,1
http://bobibank-kyc-update.top/secure/session/auth/wap/login.html,phishing,1
http://bobibank-kyc-verify.top/m/id/secure/home?ref=414714&uid=918391,phishing,1
http://bobibank-kyc-verify.click/secure/auth/verify?uid=4797007&session=3777619,phishing,1
